Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000282300,AC073488.6,-29.9750436930395,7.47714621268193e-06,processed_pseudogene,Downregulated
ENSG00000163739,CXCL1,-6.4643719933768,0.000709492216043724,protein_coding,Downregulated
ENSG00000250705,AC008526.1,-4.85083950817472,0.00075970707331343,processed_pseudogene,Downregulated
ENSG00000146469,VIP,-4.73084475999178,0.0331118120875263,protein_coding,Downregulated
ENSG00000279091,AC026523.2,-4.44650922454917,0.00803131823780691,TEC,Downregulated
ENSG00000197376,AC089987.1,-4.34664080148561,0.00480384089457056,transcribed_processed_pseudogene,Downregulated
ENSG00000259031,AL845552.2,-4.19137797151192,0.0126889646648193,lincRNA,Downregulated
ENSG00000256250,AC073912.1,-4.14755704818722,0.00432556991593174,lincRNA,Downregulated
ENSG00000235890,TSPEAR-AS1,-4.05824976047185,0.0212624290699123,antisense_RNA,Downregulated
ENSG00000148734,NPFFR1,-4.04545513611755,1.88920849947461e-07,protein_coding,Downregulated
ENSG00000258144,LINC02406,-4.03832872552788,0.0254366923101999,lincRNA,Downregulated
ENSG00000257732,AC089983.1,-4.00588871774966,0.00849116022473337,antisense_RNA,Downregulated
ENSG00000236818,ARL5AP2,-3.947783054892,0.0158515418824002,processed_pseudogene,Downregulated
ENSG00000228496,AC106875.1,-3.93868613107571,0.000331238378364179,sense_intronic,Downregulated
ENSG00000253123,AC091182.1,-3.91701253545201,0.0120975578629529,processed_transcript,Downregulated
ENSG00000182912,TSPEAR-AS2,-3.90041341874329,0.00794066758955123,antisense_RNA,Downregulated
ENSG00000248397,LINC00498,-3.89563004128965,0.0141729815818035,lincRNA,Downregulated
ENSG00000270814,TMEM261P1,-3.79979985639182,0.00364138639708385,processed_pseudogene,Downregulated
ENSG00000171517,LPAR3,-3.76508495858811,0.0075450180070069,protein_coding,Downregulated
ENSG00000136689,IL1RN,-3.76291083427054,0.0140218484303627,protein_coding,Downregulated
ENSG00000223589,AL139158.1,-3.73997251806314,0.00630554898891997,processed_pseudogene,Downregulated
ENSG00000183476,SH2D7,-3.69488295316649,0.0127201297574504,protein_coding,Downregulated
ENSG00000166923,GREM1,-3.68974772983102,0.0194061685750893,protein_coding,Downregulated
ENSG00000253311,LINC01847,-3.62224253708288,0.00453635786430847,antisense_RNA,Downregulated
ENSG00000279971,AC020910.6,-3.61284760833485,0.0385393263601801,TEC,Downregulated
ENSG00000280423,AL359852.1,-3.58607521306605,0.00766167132258369,TEC,Downregulated
ENSG00000214825,EI24P3,-3.58179770101073,0.0314114321192854,processed_pseudogene,Downregulated
ENSG00000203643,AC012456.1,-3.56425348392071,1.11714305709712e-06,antisense_RNA,Downregulated
ENSG00000233893,EZR-AS1,-3.55322169543617,0.00628257977665792,antisense_RNA,Downregulated
ENSG00000178597,PSAPL1,-3.5513104546891,0.0485025271651537,protein_coding,Downregulated
ENSG00000203397,AL139400.1,-3.55089524751886,0.00426164600734191,processed_pseudogene,Downregulated
ENSG00000163586,FABP1,-3.54105834035133,0.0129563228226087,protein_coding,Downregulated
ENSG00000226739,AL358972.1,-3.53276595520221,0.0087325193612411,lincRNA,Downregulated
ENSG00000225493,LINC01107,-3.4954739395201,0.014495331146668,lincRNA,Downregulated
ENSG00000262663,AC087222.1,-3.49189565103064,0.000581890896077055,lincRNA,Downregulated
ENSG00000256774,AC087241.2,-3.47929854520722,0.00275383902829891,processed_pseudogene,Downregulated
ENSG00000222859,RN7SKP136,-3.46410889429479,0.0337967640154501,misc_RNA,Downregulated
ENSG00000235625,AL138957.1,-3.44672307884733,0.000963702297431135,lincRNA,Downregulated
ENSG00000274541,AL121955.1,-3.43622786038813,0.0377205263256952,processed_pseudogene,Downregulated
ENSG00000273372,SFTPD-AS1,-3.419309435558,0.03043081917187,antisense_RNA,Downregulated
ENSG00000240738,AF279873.2,-3.41464554906956,0.0158689698642115,processed_pseudogene,Downregulated
ENSG00000172137,CALB2,-3.38806533926985,0.0213016875978663,protein_coding,Downregulated
ENSG00000259130,AL133371.3,-3.38603072343847,0.0425167436691068,lincRNA,Downregulated
ENSG00000246627,CACNA1C-AS1,-3.38076251432189,0.0484279404996347,antisense_RNA,Downregulated
ENSG00000219902,RPL35P3,-3.36102460686344,0.0337072414235531,processed_pseudogene,Downregulated
ENSG00000254061,AC091144.2,-3.33636734792298,0.0128863193169004,processed_pseudogene,Downregulated
ENSG00000253713,AC091819.2,-3.29155886290283,0.0225562767318245,lincRNA,Downregulated
ENSG00000233464,AL589963.1,-3.28436489261411,0.0192589968754209,antisense_RNA,Downregulated
ENSG00000257022,AC008250.1,-3.27555294064385,0.0229400375801636,antisense_RNA,Downregulated
ENSG00000224354,MTND2P5,-3.22153932162949,0.0387635816626251,processed_pseudogene,Downregulated
ENSG00000254897,AP003035.1,-3.21817297660954,0.0174371623808716,processed_pseudogene,Downregulated
ENSG00000182397,DNM1P46,-3.21766599132387,0.0149012883975342,transcribed_unprocessed_pseudogene,Downregulated
ENSG00000279591,AC002044.2,-3.21725692141996,0.0398462440421485,TEC,Downregulated
ENSG00000166592,RRAD,-3.213594736047,0.0255575302526956,protein_coding,Downregulated
ENSG00000255328,AC136475.5,-3.2047616407707,0.00366523557646181,lincRNA,Downregulated
ENSG00000241362,AC013787.1,-3.19412667290423,0.00979702153543921,processed_pseudogene,Downregulated
ENSG00000180432,CYP8B1,-3.19064838865476,0.00863134334070817,protein_coding,Downregulated
ENSG00000219445,AC019155.2,-3.168939578514,0.00761702216869295,lincRNA,Downregulated
ENSG00000178821,TMEM52,-3.14819111227132,0.0312196351817395,protein_coding,Downregulated
ENSG00000238262,NTM-IT,-3.1357315608676,0.0216742856381215,sense_intronic,Downregulated
ENSG00000227805,RPL21P90,-3.13444243639048,0.0391317717373406,processed_pseudogene,Downregulated
ENSG00000170074,FAM153A,-3.13442442411729,0.00432541539636116,protein_coding,Downregulated
ENSG00000228248,NUTF2P3,-3.12973729944252,0.0183759474446121,processed_pseudogene,Downregulated
ENSG00000281938,AC026398.1,-3.12384881923949,0.025493951930883,protein_coding,Downregulated
ENSG00000226772,AL021393.1,-3.11842973760721,0.00674967272468644,antisense_RNA,Downregulated
ENSG00000168412,MTNR1A,-3.10937148881775,0.00438594380988465,protein_coding,Downregulated
ENSG00000244383,FAM3D-AS1,-3.10816392801889,0.0268434323391773,antisense_RNA,Downregulated
ENSG00000197465,GYPE,-3.09990355919829,0.0381851453453105,protein_coding,Downregulated
ENSG00000249381,LINC00500,-3.09140924675649,0.0291420036366054,lincRNA,Downregulated
ENSG00000253357,AC008708.1,-3.08622580290984,0.01181634857309,sense_intronic,Downregulated
ENSG00000268717,BNIP3P33,-3.08582330403287,0.0171777125977128,processed_pseudogene,Downregulated
ENSG00000271159,HINT1P2,-3.07934251916683,0.0203619309689045,processed_pseudogene,Downregulated
ENSG00000252179,RNA5SP255,-3.07385222347098,0.0232214535211094,rRNA,Downregulated
ENSG00000248725,AC097488.1,-3.07131948835223,2.84350883926638e-05,processed_pseudogene,Downregulated
ENSG00000251073,NUDT19P5,-3.05703200048574,0.0143365301834608,processed_pseudogene,Downregulated
ENSG00000234109,RPL7P36,-3.04518720425261,0.0169038557664178,processed_pseudogene,Downregulated
ENSG00000213529,AL359073.1,-3.02593873441921,0.0156689007701779,processed_pseudogene,Downregulated
ENSG00000272281,TPTE2P2,-3.02477961237781,0.00543315440237822,transcribed_unprocessed_pseudogene,Downregulated
ENSG00000283125,AC022726.2,-3.0211635867488,0.00287007312836732,antisense_RNA,Downregulated
ENSG00000261265,AC025271.2,-3.01443975886201,0.00743868417967582,lincRNA,Downregulated
ENSG00000258909,AC091078.3,-3.00285817308128,0.0112425551389488,lincRNA,Downregulated
ENSG00000253642,AF279873.3,-2.99186160945225,0.0186989777177501,lincRNA,Downregulated
ENSG00000231546,RPL3P5,-2.97984522663161,0.00726677684704951,transcribed_processed_pseudogene,Downregulated
ENSG00000215174,NLRP2B,-2.97852925501,0.0243540113500782,protein_coding,Downregulated
ENSG00000269364,LINC01233,-2.97430418350492,0.00798983035132474,lincRNA,Downregulated
ENSG00000283141,AL157832.3,-2.9639876996903,0.00803131823780691,lincRNA,Downregulated
ENSG00000253304,TMEM200B,-2.94589748234793,0.044440158936829,protein_coding,Downregulated
ENSG00000253813,COX6B1P4,-2.9446639601616,0.035391795181555,processed_pseudogene,Downregulated
ENSG00000248936,AC027607.1,-2.92110431119771,0.036172447821476,antisense_RNA,Downregulated
ENSG00000255091,AC087442.1,-2.92038265301753,0.00845282531969186,antisense_RNA,Downregulated
ENSG00000244411,KRTAP5-7,-2.91656534594699,0.0323999547227814,protein_coding,Downregulated
ENSG00000276917,MIR8080,-2.90695944369522,0.0388442873921328,miRNA,Downregulated
ENSG00000225217,HSPA7,-2.90582678108803,0.0234470042724428,unprocessed_pseudogene,Downregulated
ENSG00000240808,AC126389.1,-2.89781262446559,0.00398892710674566,processed_pseudogene,Downregulated
ENSG00000236008,LINC01814,-2.8761353940806,0.00047520464620083,lincRNA,Downregulated
ENSG00000258591,AL109628.1,-2.85954751426569,0.0463480165704535,processed_pseudogene,Downregulated
ENSG00000272574,AL596325.2,-2.84151414046794,0.0167840285401492,sense_intronic,Downregulated
ENSG00000239570,SETP11,-2.83742306803094,0.0118936647198467,processed_pseudogene,Downregulated
ENSG00000271386,SRGNP1,-2.83486520177068,3.39064281289934e-05,processed_pseudogene,Downregulated
ENSG00000218976,AL138725.1,-2.82088389504098,0.046357314103602,unprocessed_pseudogene,Downregulated
ENSG00000225092,AL355336.1,-2.82005290358161,0.00894517234034484,sense_intronic,Downregulated
ENSG00000244752,CRYBB2,-2.81080000134263,0.0389913322040928,protein_coding,Downregulated
ENSG00000240692,RN7SL538P,-2.80225560173798,0.03109856906554,misc_RNA,Downregulated
