Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000148773,MKI67,8.14713576266505,3.13339365328235e-07,protein_coding,Upregulated
ENSG00000012223,LTF,7.87797589662954,5.73650557935201e-06,protein_coding,Upregulated
ENSG00000131747,TOP2A,6.8683387640657,8.98514336809164e-06,protein_coding,Upregulated
ENSG00000188257,PLA2G2A,6.76128834600686,0.0135735588097423,protein_coding,Upregulated
ENSG00000142700,DMRTA2,6.73661263919273,5.88670960111467e-07,protein_coding,Upregulated
ENSG00000046604,DSG2,6.15478948577634,0.0174156450147709,protein_coding,Upregulated
ENSG00000275713,HIST1H2BH,5.84373527871756,1.88224656689452e-05,protein_coding,Upregulated
ENSG00000280155,AL021408.2,5.75750253603637,0.000410873108674151,TEC,Upregulated
ENSG00000184357,HIST1H1B,5.7012880222656,7.47714621268193e-06,protein_coding,Upregulated
ENSG00000266208,AC080112.2,5.56807827626824,0.00406401370186771,antisense_RNA,Upregulated
ENSG00000128564,VGF,5.43232439440661,0.00120951829392573,protein_coding,Upregulated
ENSG00000144681,STAC,5.38043447725734,0.000389447664410202,protein_coding,Upregulated
ENSG00000171722,SPATA46,5.20069544402296,0.0110805306389379,protein_coding,Upregulated
ENSG00000197153,HIST1H3J,5.15824726341172,0.0010531986346799,protein_coding,Upregulated
ENSG00000080986,NDC80,5.1571700542976,0.000739058415070623,protein_coding,Upregulated
ENSG00000152611,CAPSL,5.14732663612534,0.00964794707015049,protein_coding,Upregulated
ENSG00000115457,IGFBP2,4.87003274820031,2.10509484598769e-05,protein_coding,Upregulated
ENSG00000135046,ANXA1,4.86481246945721,9.29524874102648e-06,protein_coding,Upregulated
ENSG00000137203,TFAP2A,4.82769335170338,0.0293673715458105,protein_coding,Upregulated
ENSG00000278828,HIST1H3H,4.79307788939494,0.00612133183087886,protein_coding,Upregulated
ENSG00000226025,LGALS17A,4.76231007456759,0.0129278105837199,transcribed_unprocessed_pseudogene,Upregulated
ENSG00000101057,MYBL2,4.68206828805542,0.00127050247141308,protein_coding,Upregulated
ENSG00000171848,RRM2,4.61309895775943,0.00467593274190208,protein_coding,Upregulated
ENSG00000177822,AC098864.1,4.60100485017627,0.035928047377411,antisense_RNA,Upregulated
ENSG00000099260,PALMD,4.59934762444057,0.000342521140173591,protein_coding,Upregulated
ENSG00000120708,TGFBI,4.58131244580594,3.76193811152898e-07,protein_coding,Upregulated
ENSG00000231991,ANXA2P2,4.56812718882735,1.66675155217291e-05,processed_pseudogene,Upregulated
ENSG00000124575,HIST1H1D,4.56676788710207,1.98622913918086e-07,protein_coding,Upregulated
ENSG00000283503,LINC01902,4.542656994028,0.0450607038849938,lincRNA,Upregulated
ENSG00000129173,E2F8,4.52519314918325,0.0142880058083339,protein_coding,Upregulated
ENSG00000275379,HIST1H3I,4.49868153087942,0.00042953635510075,protein_coding,Upregulated
ENSG00000035499,DEPDC1B,4.48044263473368,0.00887443797525337,protein_coding,Upregulated
ENSG00000127863,TNFRSF19,4.45972051254864,5.88670960111467e-07,protein_coding,Upregulated
ENSG00000180347,CCDC129,4.39917082758133,0.0113139428496897,protein_coding,Upregulated
ENSG00000205221,VIT,4.38987096571778,0.03249601812556,protein_coding,Upregulated
ENSG00000255260,KC877392.1,4.36178522062703,0.00930585296217811,lincRNA,Upregulated
ENSG00000007968,E2F2,4.32364660822004,0.0328796316183936,protein_coding,Upregulated
ENSG00000107438,PDLIM1,4.31908032338539,0.000926667085337379,protein_coding,Upregulated
