Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ppp2r2c,3.0583701966250385,-4.863187349778608,2.2887879553949753,-2.692950630057792,0.007082275539869028,0.04563967458429283
Fbln1,3.0543063307136014,-4.806093417627001,2.3173106568591715,-2.6524259476960914,0.007991565566021309,0.0498719310858129
Nat8l,6.611756848392189,-4.385611633729178,1.2806041949336835,-3.6358608511339443,0.0002770538626619141,0.004167380214290512
Prss35,7.874201903414644,-4.030505656335583,0.9644283021067656,-4.2917124992078195,1.773004159300696e-05,0.000556632382730198
Aldh1a1,16.838298533890644,-3.966769432481816,0.7451657888579797,-5.631132591288127,1.7903002123731118e-08,2.029669981508924e-06
Aldh2,99.44322364596064,-3.8767054081304355,0.3028093955784035,-13.0696675116507,4.907957229014368e-39,3.004651415602596e-35
Gabrb1,19.718454933090314,-3.5121840628381427,0.6790845592080867,-5.817738391657739,5.964915825129493e-09,9.129303670360689e-07
Tns3,9.753001016749987,-3.4769751930173216,0.7225457752060365,-5.002683838329588,5.6537622901529e-07,3.426963637655055e-05
Tmem136,5.492686088967064,-3.424888914263302,0.9658876695979992,-3.7665765238778097,0.00016550137202654667,0.0029031501419671023
Pamr1,14.35113774666814,-3.3895400764474206,0.6768383919743749,-5.4510919154953825,5.006148605654492e-08,4.4416872121473625e-06
Fgfr3,24.16469292510554,-3.3161279097670056,0.5418085615805119,-6.630452752990551,3.3465878256030327e-11,1.2051653334318686e-08
Adhfe1,8.35115643808155,-3.1873297023171703,0.7381860819122891,-4.602314135626403,4.178223758456469e-06,0.00015887630962279815
Gna14,3.136767879794245,-3.0810262056519973,1.260699993802885,-2.8501772203552953,0.00436948753660819,0.03274174136978622
Heph,9.223479681706031,-3.0676492610206374,0.6670753998525963,-4.883736639219631,1.0409408819615925e-06,5.250912992299155e-05
Kcnip2,2.989978936547189,-3.050656038564889,1.2644724643857284,-2.8178205477405274,0.004835082488300898,0.035280542304383905
Pde7b,2.9541966722709443,-3.0132885680914163,1.2592719859463517,-2.8013654847645437,0.00508868508234097,0.036491197143686385
Pdgfrb,3.0264191352300953,-3.0060478509693245,1.271896695209825,-2.806406735193809,0.005009741244525876,0.03616702346578705
