Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aldh2,99.44322364596064,-3.8767054081304355,0.3028093955784035,-13.0696675116507,4.907957229014368e-39,3.004651415602596e-35
Cd44,32.20113675345746,5.6080125192726715,0.6561942694630281,8.696763159199744,3.4148514809002862e-18,1.0452860383035777e-14
Vim,271.9006509637593,2.659923917172408,0.3400714798467368,8.072036586864069,6.913515045795734e-16,1.4108179703453829e-12
Kdelr2,17.389724114618808,1.8523625586298367,0.24485226650343764,7.851516001808332,4.110380517222982e-15,6.290937381609774e-12
Ptpn12,17.282549131749906,2.2958825506191225,0.32066857169326185,7.443635385601489,9.795161770242729e-14,1.1993196071485198e-10
Lgals3,31.94804305155041,2.04675402099971,0.29518058415466153,7.246825567235241,4.2665285604473096e-13,4.3532813078430715e-10
Emp1,23.594936689187556,4.512348769956848,0.6564006114963284,7.114556535906624,1.122732405988058e-12,9.819096842084129e-10
Ldha,63.32048559032528,3.0047835573814368,0.44245442912653554,7.067771454213602,1.5744156120340351e-12,1.2048215471090454e-09
Gpm6a,306.67871117725724,-1.7205909220670255,0.26487282421439623,-7.005851161735167,2.454887801848149e-12,1.6698692358793742e-09
Bbs2,38.75993025404743,-1.6479358541325124,0.2532460656507574,-6.895571034667143,5.3648857056265376e-12,3.2843830289845666e-09
Tuba1a,159.6633736009397,2.4732758694071255,0.37918913767365864,6.831003148653909,8.432288247935929e-12,4.30187238782198e-09
Tuba1c,14.69145332833344,3.8860109773199123,0.5918443278985781,6.8329364127541385,8.319383880768566e-12,4.30187238782198e-09
Hadhb,45.2916918364629,-1.3916018812522386,0.21830887258325868,-6.781565736233533,1.188803626618741e-11,5.198468430114237e-09
Btbd3,10.874022274071791,2.4963603801730465,0.3858005860957486,6.781819589328326,1.1867161258236122e-11,5.198468430114237e-09
Adam9,14.555888038843447,2.7326112991419413,0.42951744145753823,6.660721509227083,2.7248654194397963e-11,1.1121084065206955e-08
Capns1,56.56914247514092,2.1555946720932777,0.341400739336504,6.643285987874473,3.0676578367996524e-11,1.173762579805467e-08
Fgfr3,24.16469292510554,-3.3161279097670056,0.5418085615805119,-6.630452752990551,3.3465878256030327e-11,1.2051653334318686e-08
Cald1,6.953636736748104,3.092780856678674,0.4946007956550305,6.514100687491209,7.312643556192831e-11,2.4871113250562505e-08
Camk2n1,37.12198615246322,1.6352707992709072,0.2699830068272616,6.445199729086605,1.1544827979518514e-10,3.719865099505913e-08
Vmp1,38.730594143742124,3.1642068860561094,0.524533011373438,6.3403084922227375,2.2930554540094216e-10,6.684802614021752e-08
Ctnna2,18.50335511384616,-2.5473679110268987,0.4271107617323149,-6.34529456151084,2.220002652195672e-10,6.684802614021752e-08
Etv1,13.498632504790464,1.739508414311448,0.2931015002056444,6.331271328597924,2.431493270156076e-10,6.766182636316136e-08
Clic4,12.702407073956694,2.7230837677913065,0.4605458088701236,6.259721193995492,3.8566634992369486e-10,1.0265432148838521e-07
Nova1,12.824509879837892,2.900775908744143,0.4932681264037175,6.204893016565517,5.473412405582514e-10,1.3480102858226438e-07
Mapk10,16.768058615857363,-2.344144354587727,0.39985629089737307,-6.195322061641443,5.816597080783351e-10,1.3480102858226438e-07
Nebl,20.519047216241503,-2.426791587931406,0.4156453732675886,-6.190235686271501,6.007432278710921e-10,1.3480102858226438e-07
Asph,64.98920773396561,-1.270010902576418,0.2238425066769968,-6.193844074777512,5.871431288038653e-10,1.3480102858226438e-07
Tpm4,19.44969394905393,3.146416268248815,0.5377778478828227,6.176424922681521,6.556936742787272e-10,1.3841919565290923e-07
Egfr,108.3041947309476,4.031806831093977,0.7087803432180102,5.977263729442403,2.269166852896429e-09,4.5117079597040405e-07
Axl,17.29748857600915,-2.62399618955806,0.47442772134960104,-5.975817303670433,2.2893945895927956e-09,4.5117079597040405e-07
S100a10,20.58714535317703,5.3542291084152245,0.9382071552782467,5.970982369513459,2.358292301707437e-09,4.5117079597040405e-07
Itgb8,25.787790842999723,1.4941746229250046,0.269080134552459,5.965014216036744,2.446127439860008e-09,4.53793702630999e-07
Lsm3,26.486168835891984,1.478153401756071,0.26931630808923995,5.950056987090498,2.6804914453600997e-09,4.735501528297634e-07
Prex2,39.31660657513337,-2.8172890859684947,0.5414920827182619,-5.948426328115548,2.7073269109836196e-09,4.735501528297634e-07
