Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aldh2,99.44322364596064,-3.8767054081304355,0.3028093955784035,-13.0696675116507,4.907957229014368e-39,3.004651415602596e-35
Vim,271.9006509637593,2.659923917172408,0.3400714798467368,8.072036586864069,6.913515045795734e-16,1.4108179703453829e-12
Ldha,63.32048559032528,3.0047835573814368,0.44245442912653554,7.067771454213602,1.5744156120340351e-12,1.2048215471090454e-09
Tuba1a,159.6633736009397,2.4732758694071255,0.37918913767365864,6.831003148653909,8.432288247935929e-12,4.30187238782198e-09
Capns1,56.56914247514092,2.1555946720932777,0.341400739336504,6.643285987874473,3.0676578367996524e-11,1.173762579805467e-08
Egfr,108.3041947309476,4.031806831093977,0.7087803432180102,5.977263729442403,2.269166852896429e-09,4.5117079597040405e-07
Chi3l1,70.82223584332517,3.3817630942038615,0.6386143529142201,5.639703873744926,1.703428576310561e-08,1.967620706447784e-06
Sparc,58.054999102710454,3.219431983718148,0.6203826997258809,5.541866916985007,2.992637188135152e-08,2.954987881574742e-06
Tspan7,158.2327601578975,-2.063289998346988,0.4862585084049989,-5.0235020875771745,5.07376730351112e-07,3.202227157947946e-05
Myeov2,52.88555694397003,-2.4274406718469432,0.5723464224551655,-4.941408420397383,7.756024524724803e-07,4.239498405389754e-05
Cpe,456.9366242417088,-2.6864876681644545,0.661665256708193,-4.902372519446364,9.468606102727408e-07,4.912441233974338e-05
Sec61g,90.18709645159691,3.303019094481953,0.8673643869014634,4.286110597754854,1.8182849006679162e-05,0.0005650528000958875
Rps14,60.3482026451271,-2.2287182132583396,0.9014743565311788,-3.668953635572516,0.00024354523843859215,0.0038929084849113867
