Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Dicarboxylic Acid Catabolic Process (GO:0043649),4/16,4.75972747373279e-06,0.0056117186915309,0,0,46.24941724941725,566.8014149010016,GLUD1;GOT1;ASPA;GLUL
GO_Biological_Process_2023,Glutamate Metabolic Process (GO:0006536),4/20,1.2384227053885136e-05,0.0073005018482652,0,0,34.68006993006993,391.8531240748168,GLUD1;OAT;GOT1;GLUL
GO_Biological_Process_2023,2-Oxoglutarate Metabolic Process (GO:0006103),3/14,0.00013343473681867797,0.0393298886773053,0,0,37.57954545454545,335.28087377820145,GOT1;ADHFE1;GPT2
GO_Biological_Process_2023,Bone Morphogenesis (GO:0060349),3/14,0.00013343473681867797,0.0393298886773053,0,0,37.57954545454545,335.28087377820145,BMPR1B;FGFR3;FGFR2
GO_Biological_Process_2023,Positive Regulation Of Phospholipase Activity (GO:0010518),3/20,0.00040460090723908753,0.0692758217509523,0,0,24.308823529411764,189.9153429881481,PDGFRB;FGFR3;FGFR2
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),5/88,0.0004808653806335895,0.0692758217509523,0,0,8.387069404378076,64.07656613068033,PTPRM;FGF1;GLUL;SASH1;AGT
GO_Biological_Process_2023,Dicarboxylic Acid Metabolic Process (GO:0043648),4/50,0.0004961294316551132,0.0692758217509523,0,0,12.04439039221648,91.6418365827904,GOT1;GPT2;ADHFE1;ME1
GO_Biological_Process_2023,Pyruvate Metabolic Process (GO:0006090),4/50,0.0004961294316551132,0.0692758217509523,0,0,12.04439039221648,91.6418365827904,LDHB;ME1;PFKM;PGM1
GO_Biological_Process_2023,Glutamate Catabolic Process (GO:0006538),2/5,0.0005288230668011627,0.0692758217509523,0,0,91.26436781609196,688.5765723657122,GLUD1;GLUL
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),6/143,0.0006655613760162706,0.0784696862323183,0,0,6.123932287622302,44.79582796855071,PDGFRB;PINK1;AXL;FGFR3;FGFR2;AGT
GO_Biological_Process_2023,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),4/56,0.000764734648785778,0.0819656500834938,0,0,10.651425497579345,76.43443390250049,PDGFRB;PINK1;SLC25A33;AGT
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),11/483,0.0009026473282124408,0.0886850999968723,0,0,3.321145937188435,23.281826297655048,PDGFRB;GJA1;MEGF10;BCL2;FGF1;SMARCA2;FGFR3;MEIS2;SLC25A33;FGFR2;AGT
GO_Biological_Process_2023,Aromatic Compound Catabolic Process (GO:0019439),2/7,0.001099844896677,0.093332951071425,0,0,54.753103448275866,373.0102321483181,EPHX2;PON2
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),8/284,0.001218316972641,0.093332951071425,0,0,4.0823688874986965,27.393858315433008,PDGFRB;AXL;DDIT4;CHN1;ADRB2;FGF1;FGFR3;FGFR2
