Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
Cd44,32.20113675345746,5.6080125192726715,0.6561942694630281,8.696763159199744,3.4148514809002862e-18,1.0452860383035777e-14,78.4043043098161
Emp1,23.594936689187556,4.512348769956848,0.6564006114963284,7.114556535906624,1.122732405988058e-12,9.819096842084129e-10,40.64691489130049
Igfbp5,13.349932346718049,6.6305988344958875,1.2016038117626915,5.709978819379113,1.1299023446103079e-08,1.4969792354416396e-06,38.62180748486947
S100a10,20.58714535317703,5.3542291084152245,0.9382071552782467,5.970982369513459,2.358292301707437e-09,4.5117079597040405e-07,33.97611223562463
Anxa1,22.37255996912181,6.474559532521258,1.2918087256312196,5.325639888010701,1.0059826002229437e-07,7.546465048170128e-06,33.164354229704074
Gap43,13.363209124858944,5.685705716147802,1.0496714885044711,5.675122076711731,1.3858978677334695e-08,1.7315238257682246e-06,32.758600171774496
Tuba1c,14.69145332833344,3.8860109773199123,0.5918443278985781,6.8329364127541385,8.319383880768566e-12,4.30187238782198e-09,32.51169870491671
Anxa2,12.297034158054508,7.771479108513646,1.7092903979257636,4.815117008102747,1.471136631924776e-06,7.091573591057858e-05,32.24586709084516
Vim,271.9006509637593,2.659923917172408,0.3400714798467368,8.072036586864069,6.913515045795734e-16,1.4108179703453829e-12,31.521505563803075
Pdpn,15.958633181728523,4.965596226818628,0.9064822039400554,5.765640139401931,8.134847274750031e-09,1.1736381217540137e-06,29.448298561597888
Fam70a,6.515220397475537,5.6008234173880025,1.0906456180882695,5.324772017817028,1.0107973439234736e-07,7.546465048170128e-06,28.688853791409255
Ldha,63.32048559032528,3.0047835573814368,0.44245442912653554,7.067771454213602,1.5744156120340351e-12,1.2048215471090454e-09,26.799896740297402
Tnc,8.129656062777816,7.13986648433992,1.6656762985148108,4.548859314511119,5.3937485457662005e-06,0.000200505069502226,26.40233122220869
Egfr,108.3041947309476,4.031806831093977,0.7087803432180102,5.977263729442403,2.269166852896429e-09,4.5117079597040405e-07,25.584471383622336
Nes,7.105561283432204,8.964319648627905,2.850387893296039,4.0066339675025215,6.159019790236543e-05,0.0014391419525125234,25.47566743745179
