Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FAM19A4,26.930891352172942,-9.309344706058623,1.8158474239323028,-6.747121747259993,1.50806731215553e-11,8.145876472314948e-10
LOC101927967,8.494698156739751,-9.308895633602786,3.0005555727343296,-4.0830037833718285,4.4457298929970185e-05,0.0003916200984781616
OPALIN,1733.1399325934115,-9.17525753361514,1.469939745115246,-10.684968402536331,1.1968980658821577e-26,5.8544939005885876e-24
CLCA4,53.505423931219624,-9.070821704229553,1.4798820524450909,-7.574114774308699,3.61584641050574e-14,3.3688592297669617e-12
OR7A5,35.325074146691875,-8.830708444714016,1.7019251969968696,-6.4857753011876556,8.827664720427362e-11,4.145235948320144e-09
KIF25,9.32577529714952,-7.9596407914499245,2.092634587821369,-4.767386672157197,1.8663091147298305e-06,2.7205163246090715e-05
LOC101927053,9.38760482696403,-7.942914839212224,2.5505667473964717,-3.54559322304446,0.0003917303992632591,0.0023454541314609756
NKAIN2,221.05634905232623,-7.880164715030536,0.8914178750789173,-11.17857531823313,5.191672164824736e-29,3.385931672236992e-26
LOC100507377,3.5104931630424714,-7.817066822845162,2.865582194072759,-3.180917992400171,0.001468091814131423,0.006818759944679933
DPEP3,16.586016780662064,-7.6471160496408945,1.8822706045919886,-4.721261044568109,2.343868852748976e-06,3.31778027556726e-05
TMEM235,223.1407487015168,-7.4957265805010245,1.2665349969918582,-8.416961192718164,3.863755963496752e-17,6.074721317965563e-15
SH3GL3,579.7570403148401,-7.3310703132239805,0.9119916115034157,-11.445869356000369,2.4661967838808886e-30,2.4126255092976983e-27
MOBP,2465.833185838953,-7.282556339972565,0.6501673707962428,-14.0345784442945,9.576417381005881e-45,1.6863113366213257e-40
CRHBP,59.9571660038463,-7.23567779317343,1.1096387983345466,-8.422281775122547,3.692217508402534e-17,5.857320550041461e-15
OR2L13,32.22191426924738,-7.207006810960869,1.2449998412978722,-6.5556423103737345,5.54028849170648e-11,2.7175192214612648e-09
