Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
STC1,82.41402098281885,8.219242604696595,2.056676513736581,4.980868851099207,6.329942883007224e-07,1.0955836368217158e-05
KLKP1,13.37219393166746,7.819165684925583,2.2347915968837793,4.17923902349619,2.9248615015484824e-05,0.0002748339710820023
CPZ,43.386971171530476,7.575921044060942,1.4307245746939041,6.690032557561431,2.2312095138860256e-11,1.1454626335282515e-09
SLN,360.9959456772172,7.505605752690392,1.3988082697928437,7.698744776130899,1.374093102135453e-14,1.382651739171611e-12
KLHDC7A,39.10374158459363,6.667023375754035,2.0253023530053356,4.022422104314685,5.760270747568966e-05,0.0004843964068478602
CPA4,13.76294179809735,6.451464102209181,1.4708888283769483,3.938331496518094,8.205018489522627e-05,0.0006493580700314784
CA9,868.3425647611588,6.4228022015621375,0.9693550581071206,8.701230581670961,3.2830442142505665e-18,6.15011974135513e-16
LOC100996291,18.10657971599256,6.206632763529678,2.4003570124973193,3.65790504798084,0.0002542852098758612,0.001654122002476557
PROK1,8.200192696091605,6.166567379524744,2.6634180376897,3.2217532890077294,0.0012740879154312641,0.006108057339491072
ADM2,9.04548684054523,6.101977478327355,1.631304748443064,4.592987105116578,4.36946071656958e-06,5.632637903226482e-05
GPRC5A,128.5636763769169,5.759854577416791,0.8125217414619362,8.779434681252853,1.6429837585507785e-18,3.2876478414000748e-16
CHRM3,27.743413959591397,5.638649873102986,1.2416858172114424,6.278216578630963,3.424786345124594e-10,1.4189897117952698e-08
OSR1,51.2391962096958,5.6088495749679055,1.1320675777847826,6.7327183759085685,1.6652218665808586e-11,8.88572480261283e-10
CLCNKB,4.9735804986420815,5.448355286437457,2.334000967007105,2.8246906376439425,0.004732628557126679,0.01743448875783341
MIR614,6.307349754905513,5.426764192976892,2.3187656702637613,2.670853236936505,0.007565871886828218,0.025347686083553672
NKX2-5,142.12442142076551,5.379017299088637,2.0198328990677514,3.9958109295379116,6.447317550458385e-05,0.0005337602949977513
MMP7,101.4593370173232,5.296674354332441,1.4789927224960389,4.104740028938692,4.04769808937479e-05,0.00036235849342044064
TEAD4,78.17378299221512,5.20307893048156,0.8153402080731599,8.318759372370822,8.888880214656159e-17,1.2935891876023167e-14
KCNK15,9.664504663893812,5.102561829187447,1.178363085725482,4.839838356262295,1.2994477733942726e-06,2.0107184395166737e-05
HOXC5,21.988420022129723,4.978182947208088,2.1447511332677656,2.94113330493296,0.0032701377028297287,0.013001547710347413
LIF,213.71154130687447,4.779813436174105,0.7517683230145226,7.145973818839578,8.936009189551644e-13,6.370614810478335e-11
CRABP2,80.73235010986505,4.739440394656605,0.8113709112903682,7.830222527930448,4.870072115843328e-15,5.29364814122748e-13
LINC01587,25.53054521591156,4.725339034731483,1.3347985210638815,5.108638953173428,3.244877272939968e-07,6.111127689754e-06
LRRN4CL,106.06271512102448,4.689171587830379,0.7564945277911237,7.993436990893392,1.3122796301573109e-15,1.5405288004960057e-13
BRIP1,16.66059677366561,4.641430934472251,1.388404445449253,4.164921888810124,3.114591806031304e-05,0.00029049177495977347
GJA3,32.60030972579351,4.576112294200165,1.414942204454815,4.198819304280779,2.68310313364405e-05,0.0002563552959293702
ABCC3,643.2392058371288,4.4903894171055105,0.6407896609886492,8.695848385772063,3.4424785764662867e-18,6.38090581610472e-16
LINC00941,23.913395160342517,4.485638111901635,1.0215980405877751,4.081413701848572,4.476259805500717e-05,0.00039391533690685723
AQP3,490.55549257469966,4.463749541109376,0.8614199621866634,6.893692175404429,5.43625936900829e-12,3.2140963849895637e-10
ZMAT4,63.968535767351604,4.4558338104953945,1.8263764413906962,4.971406520106163,6.646891151221257e-07,1.1419034759205377e-05
SCNN1B,39.62150775545646,4.442706698242068,1.2690918070381254,3.7087490944291766,0.0002082856937463272,0.001400421069560548
NNMT,2111.1485103759082,4.374030419949123,1.0766559005212415,6.563623532701878,5.2515689538399746e-11,2.590332708912272e-09
KISS1R,20.103153492114185,4.364214855688156,1.5243082158343753,2.7387002517535235,0.006168258299285783,0.021580937888361483
UCN2,11.600095835003664,4.317839198696722,2.16165018598256,2.8633096475303152,0.004192406335995745,0.015831885732478894
GSC,46.87592807774463,4.31389036835841,0.7755247706855392,7.8019536634562385,6.095603075003018e-15,6.5053014877411e-13
KRT17,17.413807028569472,4.22864132974553,1.5125660643521053,3.628541533299736,0.0002850269000598966,0.0018088243781363624
SPOCD1,1208.8564573913104,4.174097571850264,0.5735389132727191,8.648804914467567,5.204153924144741e-18,9.395881174420285e-16
ADAMTS15,51.55812771997381,4.1624387101541815,0.7126936597934838,7.1712144673109135,7.433534347303236e-13,5.4089713356058964e-11
LEFTY2,573.3429032318701,4.125141501014007,1.051477947323902,5.178187667206379,2.2405178973285158e-07,4.4579977010234835e-06
GALNT5,27.994353353459857,4.117840145749117,1.4033268808455346,3.6587341999137983,0.0002534640511225924,0.0016499994366793824
SLC30A3,16.75888351080387,4.09835158413312,1.6918986278075123,4.21964868090658,2.446833131356819e-05,0.00023791432694678205
LOC401585,4.877945715567088,4.060086103012506,1.6592113071877632,2.897051041723886,0.0037668846373685623,0.014562255011947972
CLCF1,95.16081388150916,4.03427767708605,1.0036740028351099,6.317581853248339,2.6568772520693917e-10,1.1219412837335712e-08
CA3,298.7039702446215,3.985089852218107,0.6482005590665546,7.7316074827749555,1.0619695786319899e-14,1.0872222273331808e-12
CHRDL2,5.999411993692772,3.958950824487381,1.0595515406561462,3.4011964749243226,0.0006709158828107934,0.003622863471455155
CNR1,216.88567400730545,3.9461148806840183,0.8650579914865014,6.526413644822856,6.736312473688171e-11,3.2233621290536683e-09
DMKN,75.20775211742338,3.925043667615239,0.6861379114903203,6.050750949493543,1.4417218663278732e-09,5.047173030649606e-08
HOXC9,14.531164278008628,3.9200938706865798,1.7916458431290565,2.7670123654698373,0.005657260928634407,0.020133609890109008
MRAP2,39.91535409649491,3.8930229097229803,0.785918475003115,6.195534913072202,5.808741441043267e-10,2.2780874840830936e-08
MARVELD2,12.016174809480015,3.8645959871708784,2.1339204046964424,3.3179011188213674,0.0009069658586476706,0.004623845340164108
STC2,204.10356058021875,3.8547595053500157,0.6303913303983842,7.411400543737627,1.2497250343573504e-13,1.0235538665115619e-11
LOXL1-AS1,17.887063208238736,3.8527339189052063,1.5950659948432633,4.145274121705956,3.394074309615679e-05,0.0003120264358304062
LOX,541.5504293258751,3.818193437600594,0.8217853780392053,5.948071627795434,2.713198701983113e-09,8.686675626040116e-08
FAM183A,22.093951402551003,3.790628234857492,1.0409945304154906,3.7431967702517324,0.00018169383350042452,0.0012591289705269483
FAM132A,9.770387690994205,3.754380618291896,1.484961607148015,2.955214161987178,0.0031245207583088744,0.01255870486945012
FMOD,288.5135320145013,3.7329676521457342,1.1241607016010424,5.336873510263419,9.456295943040725e-08,2.060840535408467e-06
WDR38,26.077866811733944,3.7065280330067445,0.9909733489969612,5.324322090594472,1.0133022078838736e-07,2.1920440514283947e-06
SLPI,345.57274222194826,3.6119667965861653,0.703978034071886,6.418157753181716,1.379332858906312e-10,6.2438746304579045e-09
MSC,48.90977343694954,3.56545655144659,1.246977816384551,4.6003506451742,4.2178034558475e-06,5.476463286331378e-05
HAPLN3,34.53776580205061,3.487312915137632,0.6739135964534544,6.188763609544044,6.063793657118971e-10,2.357115728658012e-08
LOXL4,34.25027295424667,3.479617786245702,0.7230992764065632,6.085035381314525,1.1646558830614697e-09,4.185392947924372e-08
