Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),31/176,2.670384588206499e-09,8.459778375438189e-06,0,0,3.945416398768231,77.88663610025837,ECM2;COL14A1;ELN;COL12A1;LOXL4;LAMC1;LOXL2;ADAMTS15;SPOCK2;SERPINH1;HAS3;ADAMTS9;MMP7;COL22A1;P3H4;COL1A1;SMOC2;MMP14;BMP1;COL1A2;COL4A2;LOX;COL5A1;COL4A1;COL7A1;COL5A2;PXDN;COL4A6;COL8A1;TGFBI;MATN3
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),13/42,1.31320573482844e-07,0.00015091997255815604,0,0,8.1791972866026,129.6044879109972,COL14A1;COL12A1;LOXL4;P3H4;LOXL2;COL1A1;BMP1;COL1A2;COL5A1;LOX;COL5A2;PXDN;SERPINH1
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),21/109,2.0092476023708845e-07,0.00015091997255815604,0,0,4.37430426716141,67.45323861821112,ECM2;MMP7;COL14A1;COL22A1;COL1A1;ADAMTS15;SMOC2;MMP14;COL1A2;COL4A2;COL5A1;COL4A1;SPOCK2;COL7A1;COL5A2;PXDN;COL4A6;COL8A1;TGFBI;ADAMTS9;MATN3
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),21/110,2.3621525817448377e-07,0.00015091997255815604,0,0,4.324925475808301,65.99197197732377,ECM2;MMP7;COL14A1;COL22A1;COL1A1;ADAMTS15;SMOC2;MMP14;COL1A2;COL4A2;COL5A1;COL4A1;SPOCK2;COL7A1;COL5A2;PXDN;COL4A6;COL8A1;TGFBI;ADAMTS9;MATN3
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),40/316,2.381944011334533e-07,0.00015091997255815604,0,0,2.6795810015784185,40.86408907553484,TNXB;COL14A1;COL12A1;STMN3;LOXL4;LTBP2;FBLN5;LOXL2;CNN2;CNN1;SAMD14;SERPINH1;ACTN1;TPM1;KRT7;P3H4;TLE6;COL1A1;FKBP1A;MFAP4;KIF18A;MYO1B;COL1A2;BMP1;DES;MYO1C;KRT17;LOX;COL5A1;SH3D21;MYO5B;MYO5C;PXDN;COL5A2;BAX;TAGLN2;KIF2C;VIM;MYL9;DBN1
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),13/59,9.067846447346904e-06,0.0047878229241991,0,0,5.151817533856023,59.81659813650819,PLK2;PLK1;WDR62;AURKB;NDC80;CCNB1;ESPL1;KIF4A;CDK1;TACC3;RCC1;BIRC5;DLGAP5
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),18/111,1.838575711955672e-05,0.008320868364965,0,0,3.536571642910728,38.56254470957518,UBE2C;PLK2;CCNF;PLK1;CDC25C;PKMYT1;FOXM1;CCNB1;MELK;CDK4;MYC;CDK2;EIF4EBP1;CDK1;TACC3;RCC1;NES;CCNO
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),10/40,3.051799999919697e-05,0.012085127999682,0,0,6.064102564102564,63.04965009459556,CCNB1;MELK;PLK1;CDK2;CDK1;FOXM1;PKMYT1;CDC25C;NES;AURKB
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),27/221,3.947859451224011e-05,0.0138964652683085,0,0,2.551682437947819,25.873426960719947,SEMA5B;CEMIP;CD151;TWIST1;NEDD9;NTN1;SYNE2;CDH5;PODXL;MDK;AKT2;SPOCK2;TCAF2;MMP7;CAV1;F2R;LAMB1;SEMA4F;RHOC;SOD2;VEGFA;COL1A1;MMP14;MYO1C;SMO;SNAI2;EPHA2
GO_Biological_Process_2023,Embryonic Skeletal System Development (GO:0048706),9/34,4.666049629741894e-05,0.014430294653662,0,0,6.544668587896253,65.26744478219543,COL1A1;OSR2;SLC2A10;SIX1;HOXC4;HOXB3;HOXC9;SULF1;MEGF8
