Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,score
CA9,868.3425647611588,6.4228022015621375,0.9693550581071206,8.701230581670961,3.2830442142505665e-18,6.15011974135513e-16,97.69799208539943
GPRC5A,128.5636763769169,5.759854577416791,0.8125217414619362,8.779434681252853,1.6429837585507785e-18,3.2876478414000748e-16,89.18048912576
SLN,360.9959456772172,7.505605752690392,1.3988082697928437,7.698744776130899,1.374093102135453e-14,1.382651739171611e-12,89.01113419916938
TEAD4,78.17378299221512,5.20307893048156,0.8153402080731599,8.318759372370822,8.888880214656159e-17,1.2935891876023167e-14,72.26141965366335
ABCC3,643.2392058371288,4.4903894171055105,0.6407896609886492,8.695848385772063,3.4424785764662867e-18,6.38090581610472e-16,68.2319955574372
CPZ,43.386971171530476,7.575921044060942,1.4307245746939041,6.690032557561431,2.2312095138860256e-11,1.1454626335282515e-09,67.73645455420987
SPOCD1,1208.8564573913104,4.174097571850264,0.5735389132727191,8.648804914467567,5.204153924144741e-18,9.395881174420285e-16,62.72442502730444
LRRN4CL,106.06271512102448,4.689171587830379,0.7564945277911237,7.993436990893392,1.3122796301573109e-15,1.5405288004960057e-13,60.07921464480625
CRABP2,80.73235010986505,4.739440394656605,0.8113709112903682,7.830222527930448,4.870072115843328e-15,5.29364814122748e-13,58.18253111028888
GSC,46.87592807774463,4.31389036835841,0.7755247706855392,7.8019536634562385,6.095603075003018e-15,6.5053014877411e-13,52.57222826104197
OSR1,51.2391962096958,5.6088495749679055,1.1320675777847826,6.7327183759085685,1.6652218665808586e-11,8.88572480261283e-10,50.76742021240789
LIF,213.71154130687447,4.779813436174105,0.7517683230145226,7.145973818839578,8.936009189551644e-13,6.370614810478335e-11,48.73411099077931
CA3,298.7039702446215,3.985089852218107,0.6482005590665546,7.7316074827749555,1.0619695786319899e-14,1.0872222273331808e-12,47.67634644778925
CHRM3,27.743413959591397,5.638649873102986,1.2416858172114424,6.278216578630963,3.424786345124594e-10,1.4189897117952698e-08,44.252241224863134
ADAMTS15,51.55812771997381,4.1624387101541815,0.7126936597934838,7.1712144673109135,7.433534347303236e-13,5.4089713356058964e-11,42.735280888928756
AQP3,490.55549257469966,4.463749541109376,0.8614199621866634,6.893692175404429,5.43625936900829e-12,3.2140963849895637e-10,42.37411149525993
STC2,204.10356058021875,3.8547595053500157,0.6303913303983842,7.411400543737627,1.2497250343573504e-13,1.0235538665115619e-11,42.36338022961834
STC1,82.41402098281885,8.219242604696595,2.056676513736581,4.980868851099207,6.329942883007224e-07,1.0955836368217158e-05,40.77035673512569
NNMT,2111.1485103759082,4.374030419949123,1.0766559005212415,6.563623532701878,5.2515689538399746e-11,2.590332708912272e-09,37.5582440315545
HILPDA,1192.489072879705,2.80271350066786,0.4065347232839036,7.734745508339978,1.0361015310992066e-14,1.0669422141009315e-12,33.55369113173685
CNR1,216.88567400730545,3.9461148806840183,0.8650579914865014,6.526413644822856,6.736312473688171e-11,3.2233621290536683e-09,33.509187826110086
ITGA3,460.1260339470392,2.7837930624317346,0.4163663060608879,7.637712735915249,2.211145083941723e-14,2.1751985353703797e-12,32.46598964678228
CLCF1,95.16081388150916,4.03427767708605,1.0036740028351099,6.317581853248339,2.6568772520693917e-10,1.1219412837335712e-08,32.072628041071106
LINC00152,133.55965365424424,2.9317597986555977,0.4746805295702842,7.394462537095164,1.4198137648258776e-13,1.1521428840930359e-11,32.06903596475633
FRMD3,137.02625728294976,3.454786651509384,0.6134222308471415,6.807640868123344,9.921214916222317e-12,5.581555062612101e-10,31.967986571694546
TGFB1I1,479.72498457869943,2.4564384728347215,0.33846901558614273,7.975960120296448,1.5120076193851466e-15,1.7516409322205952e-13,31.33569227354063
CD44,3994.833042586315,2.411770850875266,0.33350446964674946,8.003245494504696,1.2118200085053054e-15,1.4321435254879145e-13,30.976817261545698
TUBB6,983.2605106525748,2.711685417823309,0.4353019556907431,7.490015416356346,6.886552457808197e-14,6.003232783640818e-12,30.429489260839922
MRAP2,39.91535409649491,3.8930229097229803,0.785918475003115,6.195534913072202,5.808741441043267e-10,2.2780874840830936e-08,29.752153526435812
MIR4435-2HG,157.55171656928172,2.9696054512412617,0.488693262573126,7.080109108920333,1.440410068635136e-12,9.98589799157327e-11,29.6978745084157
SLPI,345.57274222194826,3.6119667965861653,0.703978034071886,6.418157753181716,1.379332858906312e-10,6.2438746304579045e-09,29.634547103268147
STAP2,68.79308862191138,3.0415431912887687,0.49427870132058493,6.958065384939099,3.4497711110617688e-12,2.177312526691279e-10,29.387631292054905
PTPRN,441.6177246957534,3.442076901004388,0.6281860801979985,6.530378980629325,6.560347797027147e-11,3.147715650077685e-09,29.264553324661435
IGFBP6,655.346992323216,2.960128031946903,0.5191546293266953,6.987441137030011,2.7994496217142083e-12,1.805696277976758e-10,28.841579140317304
CSRP2,1367.160600795851,2.401688591595486,0.34618364696446613,7.72995440929842,1.0758510629782492e-14,1.0950671310973404e-12,28.725538715137674
DMKN,75.20775211742338,3.925043667615239,0.6861379114903203,6.050750949493543,1.4417218663278732e-09,5.047173030649606e-08,28.640854479935147
C10orf10,1450.1538557517495,2.745279836509084,0.47354778714231627,7.17876672411333,7.034304931059356e-13,5.139712677635859e-11,28.246352134867568
MGP,1303.3778753472345,3.2605279777858205,0.6877585858873994,6.545433191830028,5.932317386020551e-11,2.8698400233636234e-09,27.851893998322602
KLKP1,13.37219393166746,7.819165684925583,2.2347915968837793,4.17923902349619,2.9248615015484824e-05,0.0002748339710820023,27.843498432819175
LOX,541.5504293258751,3.818193437600594,0.8217853780392053,5.948071627795434,2.713198701983113e-09,8.686675626040116e-08,26.960822828909595
PTGIS,31.183891362372815,3.058890560548811,0.49779472466253893,6.611796924361784,3.7968262988096514e-11,1.9212159280384814e-09,26.662586549191577
HAPLN3,34.53776580205061,3.487312915137632,0.6739135964534544,6.188763609544044,6.063793657118971e-10,2.357115728658012e-08,26.59989457877215
MYC,725.8827460948116,2.0778833991996146,0.2849598594650197,7.9638770945874455,1.667308696520683e-15,1.9189306429433143e-13,26.42432001473672
FLNA,6129.214639642326,2.4238386505632787,0.3792602966402409,7.323570757426836,2.414581855875101e-13,1.889705417782429e-11,25.992290433970126
ADM2,9.04548684054523,6.101977478327355,1.631304748443064,4.592987105116578,4.36946071656958e-06,5.632637903226482e-05,25.929060692077996
LOXL4,34.25027295424667,3.479617786245702,0.7230992764065632,6.085035381314525,1.1646558830614697e-09,4.185392947924372e-08,25.67353781710074
COL6A1,3056.9120312655205,2.4288054240339703,0.3930683825307686,7.180068839742762,6.967632673869615e-13,5.1122101564237523e-11,24.995787013190572
LINC01587,25.53054521591156,4.725339034731483,1.3347985210638815,5.108638953173428,3.244877272939968e-07,6.111127689754e-06,24.637344268274116
PRSS23,1091.1605353892778,2.6754052161287114,0.47709223925559224,6.756050346015832,1.418041614981138e-11,7.75474993733008e-10,24.374097834558647
KCNK15,9.664504663893812,5.102561829187447,1.178363085725482,4.839838356262295,1.2994477733942726e-06,2.0107184395166737e-05,23.96494058231167
S100A10,2466.565779103137,2.1807128193290213,0.3204510296074895,7.378235244110796,1.6040137462058776e-13,1.2838671844063318e-11,23.751189842773996
TRIB3,1672.093371450023,2.5407421315940324,0.5000980279027659,6.841168152238185,7.854998712867955e-12,4.4908659848990853e-10,23.75001875944028
ADM,1451.7035471206282,2.517461818148773,0.4300268082653265,6.841417548072895,7.841333245726112e-12,4.4908659848990853e-10,23.532402074072973
IQGAP3,55.48748602287366,3.2130692603774014,0.7163379376480472,5.95478259418462,2.6041777910611485e-09,8.429589471102163e-08,22.729873919102882
KIRREL,184.3026060814464,2.7358608635661024,0.5380221301711952,6.394739242398961,1.6082156385677713e-10,7.205870020239156e-09,22.276237051361175
ZMYND10,242.21959055774184,2.9357438499598185,0.5990426957873828,6.1695256264525735,6.849517496515257e-10,2.6163373882025414e-08,22.259708949449372
STEAP3,781.5104006264264,2.3779807573555263,0.40385697804329646,6.836734577270347,8.101864697021528e-12,4.617014092228223e-10,22.19996942372794
KLHDC7A,39.10374158459363,6.667023375754035,2.0253023530053356,4.022422104314685,5.760270747568966e-05,0.0004843964068478602,22.099842999113694
LEFTY2,573.3429032318701,4.125141501014007,1.051477947323902,5.178187667206379,2.2405178973285158e-07,4.4579977010234835e-06,22.073055311396466
ZMAT4,63.968535767351604,4.4558338104953945,1.8263764413906962,4.971406520106163,6.646891151221257e-07,1.1419034759205377e-05,22.022382046037457
CX3CL1,466.3443810357178,2.4279227571889996,0.43589937296562403,6.7240021705069575,1.7679979634631876e-11,9.293336160783066e-10,21.928581597666398
MTMR11,301.5719581690561,2.178277564075761,0.33920737258891387,7.086100486657145,1.379436656080541e-12,9.60098817269654e-11,21.821296443459712
COL22A1,63.6421809770881,3.057616095287021,0.7535611662585501,5.970169548221662,2.370071590366322e-09,7.728627895326031e-08,21.74545257548637
SLC47A2,163.51731788779256,3.3444598844904148,0.7243517633659047,5.691177598736195,1.2616619481284818e-08,3.4767770335828533e-07,21.60127495902569
LZTS1,492.4716632830467,3.0828309756769805,0.6780058883748004,5.921431975368811,3.1915031637498074e-09,9.982092222108412e-08,21.58221657353441
FMOD,288.5135320145013,3.7329676521457342,1.1241607016010424,5.336873510263419,9.456295943040725e-08,2.060840535408467e-06,21.225488370919752
RGS6,216.33239063956495,3.2735590370209704,0.7552308671753731,5.687039555837689,1.2926052486440923e-08,3.5234498178597247e-07,21.124380923491223
P4HA2,395.78658919081056,2.127445315345819,0.35188902386027143,7.049060869031558,1.8012934834979203e-12,1.2199606519582644e-10,21.090757136032078
WDR38,26.077866811733944,3.7065280330067445,0.9909733489969612,5.324322090594472,1.0133022078838736e-07,2.1920440514283947e-06,20.97580079594196
CNN1,53.941248503236025,3.2467057519159077,0.6819589476137693,5.690367905930295,1.2676594476386948e-08,3.487846127104653e-07,20.9654163016776
EMP1,1116.0035446154498,2.2101462887244456,0.3671725922608777,6.84855303315962,7.460067945229168e-12,4.3070274245095216e-10,20.69983753623276
CPA4,13.76294179809735,6.451464102209181,1.4708888283769483,3.938331496518094,8.205018489522627e-05,0.0006493580700314784,20.56414348675852
FBLIM1,158.8128294446065,2.8145081377093875,0.5643328145086551,6.0528591140945895,1.42297312311621e-09,5.011426744990669e-08,20.54601808357243
CNIH3,510.8613806919264,2.9050812521899556,0.6287886235918129,5.93630078623297,2.9152475530652057e-09,9.232840676605253e-08,20.436272415231205
LOC154761,19.005374365723945,3.2174139597126525,0.7369027572405056,5.608141147046495,2.0451121335214693e-08,5.27267636298383e-07,20.198824728781805
NOV,118.7188997673786,2.9531915857530353,0.7007735964320512,5.849029480388606,4.944494588611635e-09,1.4857953107655681e-07,20.164513277510107
LINC01426,24.281819719045842,2.729155153185802,0.5377115103549993,6.051967824544502,1.4308705368439823e-09,5.0291814936697974e-08,19.918746230305196
TUBB3,1497.322298780758,2.018518689806342,0.32173905274415476,6.931184975169939,4.173299285134188e-12,2.59673594035081e-10,19.34865666064431
IGFBP5,2726.556315132114,2.5241188770551624,0.47148171870213534,6.1609292163345435,7.231931438956692e-10,2.7269182164579957e-08,19.09326281149474
ANXA1,1450.6729201636413,2.2623104041054174,0.41412830732065464,6.503140335325114,7.866035011136808e-11,3.7335043264449606e-09,19.06648816708484
AJUBA,122.25944134195424,2.7718871042976176,0.7180216301833022,5.854570921171555,4.782431003395037e-09,1.4395526075005676e-07,18.9646208510003
NSG1,419.3242556915287,2.4890842972866984,0.5779208662692707,6.113792532001389,9.729077469600124e-10,3.546983957809288e-08,18.544028417463387
TRAM2,282.91733157643665,2.114482594448632,0.37174532905856855,6.606998247237017,3.9219068177478676e-11,1.9788211218831578e-09,18.40359688589978
MMP7,101.4593370173232,5.296674354332441,1.4789927224960389,4.104740028938692,4.04769808937479e-05,0.00036235849342044064,18.225123153474225
CD24,522.8110016156623,2.8447731521126185,0.5881149361537268,5.604925590733698,2.0834445021735613e-08,5.363651204499158e-07,17.838262338783434
PDIA5,139.73318885194678,2.6162583239766724,0.5475785587070506,5.8435542076258695,5.109865989642466e-09,1.5276677455282543e-07,17.832341102210254
FOSL2,320.6122931251438,2.3089182606534373,0.48143172738845486,6.21521366768462,5.125485685110946e-10,2.0327630051603298e-08,17.759998966295832
SLC16A4,149.05180356451513,2.5988704133885117,0.5078244834899056,5.83789024170546,5.286596323558672e-09,1.5698427430277345e-07,17.683088140988048
NKX2-5,142.12442142076551,5.379017299088637,2.0198328990677514,3.9958109295379116,6.447317550458385e-05,0.0005337602949977513,17.603661056391676
LAMB1,231.19129995669792,2.7955228100072262,0.752876481706842,5.604659126601427,2.0866521091113233e-08,5.364066713772452e-07,17.52934207635856
NPW,15.504554617703066,3.1660837850841865,0.6896483409888626,5.253944841614412,1.4887548349434123e-07,3.088579440547989e-06,17.44588539059869
TP53I3,470.05500388995637,1.7786391690221697,0.28523812406494453,6.985246107894215,2.8435706312544327e-12,1.8274611403561791e-10,17.32065831292795
LOC100996291,18.10657971599256,6.206632763529678,2.4003570124973193,3.65790504798084,0.0002542852098758612,0.001654122002476557,17.26332984510051
PODXL,665.2634221570024,2.2495344023812827,0.39927968402211983,6.194993811302962,5.828732035184812e-10,2.2808476090570968e-08,17.190725341218734
UBE2C,370.3447671094418,2.4277127635681164,0.5511355367071044,5.953427031528633,2.6258495866614267e-09,8.481648457554574e-08,17.167618710930842
KRT7,50.94837635504984,3.1475845426476146,0.9102950035987843,5.225304262796499,1.7386896315615868e-07,3.5642125404153645e-06,17.148155179623554
CTGF,642.9494629807708,2.4352872408795267,0.5204205338251285,5.938454816801479,2.8772092245173074e-09,9.161421617319029e-08,17.13964202292725
FAM129B,142.9094878809281,2.2837693262143866,0.4534503710201205,6.123241417262986,9.16906060064267e-10,3.3567149296614715e-08,17.06908729733428
IGSF3,136.42414045347073,2.9708526182059893,0.7569262309444873,5.349379054379658,8.825651804682371e-08,1.947505045471828e-06,16.96511747779775
SYNPO,154.9728693718924,2.6618549105354012,0.5604336840643157,5.627795609611466,1.825271847598192e-08,4.804366511861967e-07,16.81856789092204
SDC1,294.04906797034175,2.6205926423178414,0.6255179606581173,5.671021270105025,1.4194877138804223e-08,3.82198152197559e-07,16.818207319770522
SERINC2,89.72116863967227,2.810160635678129,0.7920493472932219,5.471141888202947,4.471451184038177e-08,1.0698068464636993e-06,16.778611008644937
NPM3,99.83319970692361,2.0750315861993185,0.3737381978438782,6.351387827681578,2.133809850336094e-10,9.186860062241634e-09,16.67668211825166
RASD1,2451.1251219999335,2.1402290381374907,0.4302891817191846,6.223067366689163,4.87527916605473e-10,1.955553321983092e-08,16.498448515836927
GJA3,32.60030972579351,4.576112294200165,1.414942204454815,4.198819304280779,2.68310313364405e-05,0.0002563552959293702,16.43354092991594
BRIP1,16.66059677366561,4.641430934472251,1.388404445449253,4.164921888810124,3.114591806031304e-05,0.00029049177495977347,16.416120005171802
TFR2,87.4273173718127,2.6452605921261196,0.5654600165072299,5.546491539002563,2.9145872482199383e-08,7.249006617783177e-07,16.2411633405528
ISYNA1,559.0255759130408,1.8763208988954887,0.327740224248929,6.589093765058928,4.4251926498016065e-11,2.2200346829161392e-09,16.23700603505048
PLA2G2A,903.8684051303801,3.475831212852633,1.0024764634416492,4.819874259057062,1.4364873144376434e-06,2.176859304641348e-05,16.20491475255369
GPX3,5729.156961017427,2.667276474433156,1.008276349871279,5.51215706577735,3.5446237638412595e-08,8.657042976072224e-07,16.170711509822343
CELSR1,29.963886160833134,2.5257274264828986,0.5996810880324156,5.649539433671848,1.608782789864222e-08,4.279313617329167e-07,16.085413064944746
SLC39A14,948.6961727485223,2.073758076281151,0.38970681810904884,6.194470361496479,5.848134363186216e-10,2.2833658093424854e-08,15.846465784171107
TRIP10,297.3413346026582,1.7688912367310063,0.3059407053383043,6.681402588220095,2.3666607225464804e-11,1.2114688564918888e-09,15.772650814373263
MRC2,1387.278003457904,2.1527572679899682,0.459070497444762,6.0340043945014745,1.5994571159284125e-09,5.522517716545768e-08,15.6244170697593
AOC2,10.950853969604683,2.9339392458796802,0.7074148442855778,5.15911160179075,2.4812438274594077e-07,4.876364124746954e-06,15.584803241817227
VEGFA,1452.4956321677553,1.9537775341635373,0.36420039554018546,6.318058220026732,2.648702357999001e-10,1.1211778803366443e-08,15.53316731016157
ACTN1,2250.171090224921,2.0826753826384645,0.40709121133974574,6.105938433220094,1.0219840007070875e-09,3.718205840589071e-08,15.473583669201599
RARA,169.49553451625297,1.6208069322808443,0.252866723352571,6.909363959216945,4.868314719027631e-12,2.9536425863321226e-10,15.445709911133209
TNFRSF12A,2216.8048863831664,2.1322241273766442,0.41910627446497,6.028420861317117,1.6556943642023322e-09,5.70550333840291e-08,15.445204781967528
PTX3,588.5767609094192,3.1386479618347045,0.9236112940469695,4.93655756717537,7.951357435854254e-07,1.3296814158400529e-05,15.304839660026689
C1R,4089.4366228449844,2.421333383751436,0.5933146088652843,5.628653667561758,1.8162165459781095e-08,4.78768819732463e-07,15.302522239144917
LINC00941,23.913395160342517,4.485638111901635,1.0215980405877751,4.081413701848572,4.476259805500717e-05,0.00039391533690685723,15.271790551442667
F2R,639.8640488548183,2.3107691818501097,0.5534360176936282,5.753961447698316,8.717604512105357e-09,2.5083055204846936e-07,15.252508274265168
MSC,48.90977343694954,3.56545655144659,1.246977816384551,4.6003506451742,4.2178034558475e-06,5.476463286331378e-05,15.19419245025401
P4HA2-AS1,11.313313931774557,3.2950100056340497,1.0732343158442619,4.783241940682179,1.7249029914721012e-06,2.5417419896930737e-05,15.14013780217263
SLCO4A1,109.95888474509275,2.843015183871303,0.6864695637253082,5.152535378479149,2.56988115572611e-07,5.0281152523534525e-06,15.063985401791639
EPHA2,81.50205605029261,2.5364914339590863,0.6412320841995979,5.440753512192537,5.30556803061813e-08,1.2523558639564967e-06,14.971062993815107
SERPINA3,7090.084927311801,2.5356077334065903,0.6905762144450757,5.43634843852563,5.438355665794434e-08,1.2773104739836011e-06,14.944120240407436
SLC30A3,16.75888351080387,4.09835158413312,1.6918986278075123,4.21964868090658,2.446833131356819e-05,0.00023791432694678205,14.850702392358125
TSKU,456.8585557607414,2.0998156805991393,0.4643724444575036,5.949230327037572,2.6940631069435797e-09,8.641121539192988e-08,14.831900834230147
HOXB2,85.49578743137698,3.088939099237107,0.8978373905196655,4.882536928079574,1.047296181022227e-06,1.679584558435373e-05,14.749060624776897
EIF4EBP1,1011.67908680806,1.4557901499117236,0.2201842835198717,7.1099133599354465,1.1611582377369425e-12,8.146149565063673e-11,14.687536147821664
S100A6,3924.200843067605,1.9418187104474292,0.3751658379408162,6.139735823090172,8.265882907497479e-10,3.0578557167672925e-08,14.591957890776872
HIST1H4J,26.088685323642572,2.5636670518108224,0.6924023924660926,5.339051534739948,9.343408511359406e-08,2.038761839857841e-06,14.58888961770673
NRN1,299.1367587031483,2.6541242313024465,0.6329605608445419,5.235648168684608,1.644068708589326e-07,3.382056762797832e-06,14.520233558791098
MCHR1,316.6334379423904,3.1485500455114157,0.9961825238763921,4.789205290766546,1.6744311374548313e-06,2.4798198401549305e-05,14.500898708304257
TSPAN9,77.07808535777491,2.5042272332038364,0.642198090105194,5.3850287443153055,7.24330719856848e-08,1.6331292760511188e-06,14.491911501136526
PTHLH,75.16113141580703,3.0454081534047273,0.8759464235591488,4.847010997561258,1.253354823112186e-06,1.949675360440149e-05,14.343987204662586
ABI3BP,53.8542246661023,2.7266743862806155,0.6898902574219256,5.123933130588613,2.992271408914505e-07,5.708657339065604e-06,14.297224504730131
SIX1,63.18851668455439,3.006606552964003,1.1540797950717054,4.871607254925428,1.1069404413691488e-06,1.7576297774634214e-05,14.29663243381513
PCSK1,216.32739848705017,2.746492573497767,0.8152162954650923,5.100831043250506,3.381653411000903e-07,6.3348441398207334e-06,14.276993651995197
NMB,1193.2773853372469,2.20244179687532,0.46448962886367223,5.688241561635073,1.2835417484976312e-08,3.504168472758882e-07,14.217675860790024
ATP6V1B1-AS1,9.282894403758084,3.2430570138916974,0.9828189622552843,4.636444869557026,3.544526761278344e-06,4.7392233666932696e-05,14.023928166083845
LOC101927267,21.80406415869487,2.9121507052775986,1.2229832882513487,4.902857361641372,9.445257057720628e-07,1.5361945309442307e-05,14.017794050951494
THBS3,430.73995963533844,1.7855758011890528,0.32586089199450946,6.27370442913512,3.5255749865714527e-10,1.4539074927057779e-08,13.994384677823001
MUC12,59.29674656958872,2.6915283359674405,0.7277178917365041,5.09427118789288,3.5008535548353666e-07,6.525316056255482e-06,13.956646856762108
SYDE1,105.63017836654188,1.7519229142644603,0.3069024360889218,6.3123555840396754,2.748198779201597e-10,1.1549649714310481e-08,13.905767577170169
PTK7,319.43333563695376,2.3247216711350616,0.634461103352834,5.469995239658669,4.5004766664464164e-08,1.075290279775508e-06,13.875041502420157
PROK1,8.200192696091605,6.166567379524744,2.6634180376897,3.2217532890077294,0.0012740879154312641,0.006108057339491072,13.65337768565401
FGF11,267.04519292004454,1.7578511772524752,0.3040930410952746,6.2437461259454,4.272132036094687e-10,1.7333634337233026e-08,13.64287699956925
SLC19A3,31.473435424581318,3.1202111243161776,0.8508894589285689,4.642695928138896,3.4389227133182137e-06,4.619068654372267e-05,13.527505535939376
LOXL1-AS1,17.887063208238736,3.8527339189052063,1.5950659948432633,4.145274121705956,3.394074309615679e-05,0.0003120264358304062,13.50694774366921
LAMA5,300.3327587886809,1.8932090728889044,0.37522092596027257,5.978576175556872,2.250963493540057e-09,7.410003143903612e-08,13.498924511154753
